Strength,Anchor,Label,Time,Room
0.390093501232058,Ancre1,Trajectoire1,1,Salle1
0.388570494140244,Ancre1,Trajectoire1,2,Salle1
0.415975413924,Ancre1,Trajectoire1,3,Salle1
0.377913952516693,Ancre1,Trajectoire1,4,Salle1
0.3428971624788,Ancre1,Trajectoire1,5,Salle1
0.339852203363483,Ancre1,Trajectoire1,6,Salle1
0.324627535673965,Ancre1,Trajectoire1,7,Salle1
0.336807500022301,Ancre1,Trajectoire1,8,Salle1
0.320061072139883,Ancre1,Trajectoire1,9,Salle1
0.348985929725822,Ancre1,Trajectoire1,10,Salle1
0.344419402248206,Ancre1,Trajectoire1,11,Salle1
0.306357908869131,Ancre1,Trajectoire1,12,Salle1
0.310925299584456,Ancre1,Trajectoire1,13,Salle1
0.274385854144186,Ancre1,Trajectoire1,14,Salle1
0.25002650093932,Ancre1,Trajectoire1,15,Salle1
0.250027012487592,Ancre1,Trajectoire1,16,Salle1
0.460006644202855,Ancre2,Trajectoire1,1,Salle1
0.368249456297456,Ancre2,Trajectoire1,2,Salle1
0.427381866280935,Ancre2,Trajectoire1,3,Salle1
0.445733303862015,Ancre2,Trajectoire1,4,Salle1
0.394757088359016,Ancre2,Trajectoire1,5,Salle1
0.417186623180336,Ancre2,Trajectoire1,6,Salle1
0.370288504917576,Ancre2,Trajectoire1,7,Salle1
0.382522796638296,Ancre2,Trajectoire1,8,Salle1
0.307077997693857,Ancre2,Trajectoire1,9,Salle1
0.396796136979136,Ancre2,Trajectoire1,10,Salle1
0.392718039738896,Ancre2,Trajectoire1,11,Salle1
0.409030428699856,Ancre2,Trajectoire1,12,Salle1
0.305038949073737,Ancre2,Trajectoire1,13,Salle1
0.290765608732897,Ancre2,Trajectoire1,14,Salle1
0.260179879431097,Ancre2,Trajectoire1,15,Salle1
0.311156094934097,Ancre2,Trajectoire1,16,Salle1
-0.93452628753855,Ancre3,Trajectoire1,1,Salle1
-0.934528222483772,Ancre3,Trajectoire1,2,Salle1
-0.98981130055876,Ancre3,Trajectoire1,3,Salle1
-0.93913600428863,Ancre3,Trajectoire1,4,Salle1
-0.939135036816019,Ancre3,Trajectoire1,5,Salle1
-0.92070676364079,Ancre3,Trajectoire1,6,Salle1
-0.82626368367559,Ancre3,Trajectoire1,7,Salle1
-0.94834842361236,Ancre3,Trajectoire1,8,Salle1
-0.886154978918111,Ancre3,Trajectoire1,9,Salle1
-0.895368559208974,Ancre3,Trajectoire1,10,Salle1
-0.830869820777009,Ancre3,Trajectoire1,11,Salle1
-0.872333326580606,Ancre3,Trajectoire1,12,Salle1
-0.784799210399382,Ancre3,Trajectoire1,13,Salle1
-0.743338268398204,Ancre3,Trajectoire1,14,Salle1
-0.821656143738885,Ancre3,Trajectoire1,15,Salle1
-0.803228451047222,Ancre3,Trajectoire1,16,Salle1
-0.658214951557061,Ancre4,Trajectoire1,1,Salle1
-0.644741704925989,Ancre4,Trajectoire1,2,Salle1
-0.673612947706858,Ancre4,Trajectoire1,3,Salle1
-0.556203227064657,Ancre4,Trajectoire1,4,Salle1
-0.608171464070221,Ancre4,Trajectoire1,5,Salle1
-0.581224970808077,Ancre4,Trajectoire1,6,Salle1
-0.650515953482162,Ancre4,Trajectoire1,7,Salle1
-0.527331984283788,Ancre4,Trajectoire1,8,Salle1
-0.506159739577818,Ancre4,Trajectoire1,9,Salle1
-0.569676473695729,Ancre4,Trajectoire1,10,Salle1
-0.440718255941181,Ancre4,Trajectoire1,11,Salle1
-0.561977475620831,Ancre4,Trajectoire1,12,Salle1
-0.508084489096542,Ancre4,Trajectoire1,13,Salle1
-0.504234990059093,Ancre4,Trajectoire1,14,Salle1
-0.452266753053529,Ancre4,Trajectoire1,15,Salle1
-0.54080523091486,Ancre4,Trajectoire1,16,Salle1
0.525592535317665,Ancre1,Trajectoire2,1,Salle1
0.54386184240483,Ancre1,Trajectoire2,2,Salle1
0.578879559623965,Ancre1,Trajectoire2,3,Salle1
0.549952783732007,Ancre1,Trajectoire2,4,Salle1
0.528637846122419,Ancre1,Trajectoire2,5,Salle1
0.528637526404749,Ancre1,Trajectoire2,6,Salle1
0.527114391425868,Ancre1,Trajectoire2,7,Salle1
0.449469996164254,Ancre1,Trajectoire2,8,Salle1
0.495143583599835,Ancre1,Trajectoire2,9,Salle1
0.511890395143457,Ancre1,Trajectoire2,10,Salle1
0.514935066512871,Ancre1,Trajectoire2,11,Salle1
0.472306150446705,Ancre1,Trajectoire2,12,Salle1
0.422064692719295,Ancre1,Trajectoire2,13,Salle1
0.504277917425747,Ancre1,Trajectoire2,14,Salle1
0.466216807707877,Ancre1,Trajectoire2,15,Salle1
0.495143583599835,Ancre1,Trajectoire2,16,Salle1
0.419225671800455,Ancre2,Trajectoire2,1,Salle1
0.451850449722375,Ancre2,Trajectoire2,2,Salle1
0.394757088359016,Ancre2,Trajectoire2,3,Salle1
0.380483748018176,Ancre2,Trajectoire2,4,Salle1
0.364171359057216,Ancre2,Trajectoire2,5,Salle1
0.362132310437096,Ancre2,Trajectoire2,6,Salle1
0.417186623180336,Ancre2,Trajectoire2,7,Salle1
0.347858970096256,Ancre2,Trajectoire2,8,Salle1
0.225516052889058,Ancre2,Trajectoire2,9,Salle1
0.213281761168338,Ancre2,Trajectoire2,10,Salle1
0.227555101509178,Ancre2,Trajectoire2,11,Salle1
0.203086518067738,Ancre2,Trajectoire2,12,Salle1
0.192891274967138,Ancre2,Trajectoire2,13,Salle1
0.231633198749418,Ancre2,Trajectoire2,14,Salle1
0.164344594285459,Ancre2,Trajectoire2,15,Salle1
0.184735080486658,Ancre2,Trajectoire2,16,Salle1
-0.418541991423975,Ancre3,Trajectoire2,1,Salle1
-0.38168742839237,Ancre3,Trajectoire2,2,Salle1
-0.526806917221203,Ancre3,Trajectoire2,3,Salle1
-0.489952160695075,Ancre3,Trajectoire2,4,Salle1
-0.487648124671754,Ancre3,Trajectoire2,5,Salle1
-0.430058737012809,Ancre3,Trajectoire2,6,Salle1
-0.455399456873415,Ancre3,Trajectoire2,7,Salle1
-0.547539952024211,Ancre3,Trajectoire2,8,Salle1
-0.508379272903171,Ancre3,Trajectoire2,9,Salle1
-0.556752855084246,Ancre3,Trajectoire2,10,Salle1
-0.360955264314711,Ancre3,Trajectoire2,11,Salle1
-0.434667050927603,Ancre3,Trajectoire2,12,Salle1
-0.496860834237267,Ancre3,Trajectoire2,13,Salle1
-0.420846801425385,Ancre3,Trajectoire2,14,Salle1
-0.572877817840613,Ancre3,Trajectoire2,15,Salle1
-0.436971667434491,Ancre3,Trajectoire2,16,Salle1
-0.521557735727614,Ancre4,Trajectoire2,1,Salle1
-0.496535991984195,Ancre4,Trajectoire2,2,Salle1
-0.550428978508483,Ancre4,Trajectoire2,3,Salle1
-0.463815250165877,Ancre4,Trajectoire2,4,Salle1
-0.390674768454342,Ancre4,Trajectoire2,5,Salle1
-0.440718255941181,Ancre4,Trajectoire2,6,Salle1
-0.488836993909296,Ancre4,Trajectoire2,7,Salle1
-0.490761743428021,Ancre4,Trajectoire2,8,Salle1
-0.365653024710922,Ancre4,Trajectoire2,9,Salle1
-0.483062745353123,Ancre4,Trajectoire2,10,Salle1
-0.463815250165876,Ancre4,Trajectoire2,11,Salle1
-0.367577774229647,Ancre4,Trajectoire2,12,Salle1
-0.367577774229647,Ancre4,Trajectoire2,13,Salle1
-0.236694806956374,Ancre4,Trajectoire2,14,Salle1
-0.363728275192198,Ancre4,Trajectoire2,15,Salle1
-0.440718255941181,Ancre4,Trajectoire2,16,Salle1
0,Ancre1,Trajectoire3,1,Salle1
