Iteration,Error_1,Error_2,Error_3,Error_Mean,Loss_1,Loss_2,Loss_3,Loss_Mean,Score,Features_n,Alpha,Lambda,Lambda_bias,Coef1_1,Coef2_1,Coef3_1,Coef4_1,Rési1_1,Rési2_1,Rési3_1,Rési4_1,Coef1_2,Coef2_2,Coef3_2,Coef4_2,Rési1_2,Rési2_2,Rési3_2,Rési4_2,Coef1_3,Coef2_3,Coef3_3,Coef4_3,Rési1_3,Rési2_3,Rési3_3,Rési4_3,Coef1_4,Coef2_4,Coef3_4,Coef4_4,Rési1_4,Rési2_4,Rési3_4,Rési4_4,PosInitiale_1,PosInitiale_2,PosInitiale_3,PosInitiale_4,Logging
1,0.586538,0.518868,0.625,0.576802,1.546994,1.59367,1.52958,1.556748,0.897935359896,11,1.48133532555907,1.49096737259706,0.673766639294351,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1
2,0.480769,0.509434,0.461538,0.483913666666667,1.39378,1.33778,1.339576,1.35704533333333,0.656692783086222,12,2.69527108394262,1.42160336538475,2.3297992629225,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
3,0.394231,0.443396,0.461538,0.433055,1.206346,1.246883,1.38655,1.27992633333333,0.554278498281667,17,1.19801301510555,2.03451432394434,1.41464143445641,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1
4,0.480769,0.377358,0.413462,0.423863,1.405127,1.20319,1.211035,1.27311733333333,0.539627332258667,11,1.02922549498108,0.917476237982836,0.0714329652864619,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1
5,0.653846,0.669811,0.576923,0.633526666666667,1.677413,1.649138,1.598527,1.64169266666667,1.04005608280444,15,3.56027338872093,1.6060734308621,0.70527955320944,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
6,0.5,0.367925,0.451923,0.439949333333333,1.201535,1.064582,1.600571,1.288896,0.567048935936,11,2.25712771158455,0.112579854682902,0.994232827252463,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
7,0.394231,0.358491,0.432692,0.395138,1.156492,0.994914,1.145592,1.09899933333333,0.434256398574667,14,0.465462314384561,1.10542139019377,3.40465338885795,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
8,0.509615,0.509434,0.519231,0.51276,1.239015,1.366199,1.326616,1.31061,0.6720283836,5,0.374772571424963,1.35287447331848,1.76359346114046,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
9,0.423077,0.386792,0.451923,0.420597333333333,1.212144,1.520092,1.701392,1.477876,0.621590704597333,12,1.91384868684962,1.55039335845505,0.200990751010632,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
10,0.538462,0.443396,0.519231,0.500363,1.48236,1.319955,1.363968,1.388761,0.694884620243,10,1.71929182327182,2.46235153874643,0.710538426311777,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1
