Fold,xgb_LinearModel,xgb_DecisionTree,xgb_RandomForest,xgb_GradientBoosting,h2o_LinearModel,h2o_DecisionTree,h2o_RandomForest,h2o_GradientBoosting,h2o_NN_32x6_ReLU,h2o_NN_32x6_Soft,h2o_NN_16x16x6_ReLU,h2o_NN_16x16x6_Soft
Fold_1v2,0.053763,0.193548,0.268817,0.193548,0.021505376,0.236559139784946,0.311827956989247,0.279569892473118,0.086021505376344,0.064516129032258,0.10752688172043,0.10752688172043
Fold_1v3,0.065217,0.097826,0.26087,0.119565,0.010869565,0.173913043478261,0.195652173913043,0.173913043478261,0.152173913043478,0.108695652173913,0.141304347826087,0.119565217391304
Fold_2v1,0.019231,0.067308,0.163462,0.134615,0.09615385,0.067307692307692,0.182692307692308,0.182692307692308,0.163461538461538,0.125,0.173076923076923,0.125
Fold_2v3,0.730769,0.548077,0.644231,0.740385,0.65384614,0.509615384615385,0.807692307692308,0.721153846153846,0.75,0.75,0.730769230769231,0.740384615384615
Fold_3v1,0.086538,0.076923,0.048077,0.076923,0.048076924,0.086538461538462,0.201923076923077,0.173076923076923,0.192307692307692,0.192307692307692,0.163461538461538,0.134615384615385
Fold_3v2,0.820755,0.679245,0.566038,0.773585,0.6603774,0.594339622641509,0.820754716981132,0.745283018867925,0.754716981132075,0.745283018867925,0.792452830188679,0.754716981132075
Fold_1v23,0.059459,0.145946,0.264865,0.145946,0.016216217,0.205405405405405,0.254054054054054,0.227027027027027,0.118918918918919,0.0864864864864861,0.124324324324324,0.097297297297297
Fold_2v13,0.365385,0.298077,0.384615,0.413462,0.36057693,0.288461538461538,0.427884615384615,0.399038461538462,0.379807692307692,0.375,0.379807692307692,0.379807692307692
Fold_3v12,0.433333,0.361905,0.37619,0.414286,0.36190477,0.319047619047619,0.423809523809524,0.4,0.414285714285714,0.414285714285714,0.428571428571429,0.419047619047619
Fold_12v3,0.615385,0.432692,0.509615,0.644231,0.50961536,0.403846153846154,0.586538461538462,0.663461538461538,0.586538461538462,0.605769230769231,0.673076923076923,0.673076923076923
Fold_13v2,0.59434,0.566038,0.54717,0.716981,0.4528302,0.39622641509434,0.726415094339623,0.745283018867925,0.566037735849057,0.566037735849057,0.613207547169811,0.566037735849057
Fold_23v1,0.028846,0.067308,0.057692,0.086538,0.086538464,0.067307692307692,0.105769230769231,0.173076923076923,0.057692307692308,0.038461538461538,0.115384615384615,0.105769230769231
Moyenne_1c1,0.2960455,0.2771545,0.325249166666667,0.339770166666667,0.2484715425,0.278045557394376,0.420090423365186,0.379281505290397,0.349780271720188,0.330967082063631,0.351431958673815,0.330301513373968
Moyenne_1c2,0.286059,0.268642666666667,0.34189,0.324564666666667,0.246232639,0.270971520971521,0.368582731082731,0.34202182952183,0.304337441837442,0.291924066924067,0.310901148401148,0.298717536217536
Moyenne_2c1,0.412857,0.355346,0.371492333333333,0.482583333333333,0.349661341333333,0.289126753749395,0.472907595549105,0.527273826802129,0.403422835026609,0.403422835026609,0.467223028543783,0.448294629898404
Moyenne,0.331653833333333,0.300381055555556,0.3462105,0.382306055555556,0.281455174277778,0.279381277371764,0.420526916665674,0.416192387204785,0.352513516194746,0.342104661338102,0.376518711872915,0.359104559829969
